user,total_logons,after_hours_logons,thumb_drive_count,url_count,role
AAA0371,0.0,0.0,0.0,0.0,0.0
AAC0344,0.0,0.0,0.0,0.0,0.0
AAC0599,0.0,0.0,0.0,0.0,0.0
AAH0734,0.0,0.0,0.0,0.0,0.0
AAK0658,0.0,0.0,0.0,0.0,0.0
AAK0924,0.0,0.0,0.0,0.0,0.0
AAR0508,0.0,0.0,0.0,0.0,0.0
AAS0709,0.0,0.0,0.0,0.0,0.0
ABB0272,0.0,0.0,0.0,0.0,0.0
ABD0833,0.0,0.0,0.0,0.0,0.0
ABG0179,0.0,0.0,0.0,0.0,0.0
ABH0963,0.0,0.0,0.0,0.0,0.0
ABL0836,0.0,0.0,0.0,0.0,0.0
ABS0726,0.0,0.0,0.0,0.0,0.0
ACD0647,0.0,0.0,0.0,0.0,0.0
ACH0803,0.0,0.0,0.0,0.0,0.0
ACL0865,0.0,0.0,0.0,0.0,0.0
ACM0061,0.0,0.0,0.0,0.0,0.0
ACR0400,0.0,0.0,0.0,0.0,0.0
ADR0219,0.0,0.0,0.0,0.0,0.0
AEC0750,0.0,0.0,0.0,0.0,0.0
AEG0905,0.0,0.0,0.0,0.0,0.0
AEW0730,0.0,0.0,0.0,0.0,0.0
AFD0868,0.0,0.0,0.0,0.0,0.0
AFF0760,0.0,0.0,0.0,0.0,0.0
AFG0122,0.0,0.0,0.0,0.0,0.0
AFH0331,0.0,0.0,0.0,0.0,0.0
AFN0918,0.0,0.0,0.0,0.0,0.0
AFO0022,0.0,0.0,0.0,0.0,0.0
AFR0646,0.0,0.0,0.0,0.0,0.0
AGB0091,0.0,0.0,0.0,0.0,0.0
AGF0088,0.0,0.0,0.0,0.0,0.0
AGG0562,0.0,0.0,0.0,0.0,0.0
AGW0182,0.0,0.0,0.0,0.0,0.0
AHD0147,0.0,0.0,0.0,0.0,0.0
AHS0926,0.0,0.0,0.0,0.0,0.0
AHV0103,0.0,0.0,0.0,0.0,0.0
AIB0797,0.0,0.0,0.0,0.0,0.0
AIC0321,0.0,0.0,0.0,0.0,0.0
AID0577,0.0,0.0,0.0,0.0,0.0
AJA0220,0.0,0.0,0.0,0.0,0.0
AJB0016,0.0,0.0,0.0,0.0,0.0
AJB0370,0.0,0.0,0.0,0.0,0.0
AJC0203,0.0,0.0,0.0,0.0,0.0
AJC0266,0.0,0.0,0.0,0.0,0.0
AJC0399,0.0,0.0,0.0,0.0,0.0
AJM0302,0.0,0.0,0.0,0.0,0.0
AJN0804,0.0,0.0,0.0,0.0,0.0
AJP0553,0.0,0.0,0.0,0.0,0.0
AJS0917,0.0,0.0,0.0,0.0,0.0
AJS0978,0.0,0.0,0.0,0.0,0.0
AKA0033,0.0,0.0,0.0,0.0,0.0
AKH0067,0.0,0.0,0.0,0.0,0.0
AKM0969,0.0,0.0,0.0,0.0,0.0
AKP0173,0.0,0.0,0.0,0.0,0.0
AKS0283,0.0,0.0,0.0,0.0,0.0
AKW0582,0.0,0.0,0.0,0.0,0.0
ALC0244,0.0,0.0,0.0,0.0,0.0
ALK0520,0.0,0.0,0.0,0.0,0.0
ALL0155,0.0,0.0,0.0,0.0,0.0
ALN0201,0.0,0.0,0.0,0.0,0.0
ALS0087,0.0,0.0,0.0,0.0,0.0
ALW0250,0.0,0.0,0.0,0.0,0.0
ALW0694,0.0,0.0,0.0,0.0,0.0
ALW0834,0.0,0.0,0.0,0.0,0.0
AMA0191,0.0,0.0,0.0,0.0,0.0
AMA0606,0.0,0.0,0.0,0.0,0.0
AMD0432,0.0,0.0,0.0,0.0,0.0
AMH0101,0.0,0.0,0.0,0.0,0.0
AMM0340,0.0,0.0,0.0,0.0,0.0
AMM0661,0.0,0.0,0.0,0.0,0.0
AMM0830,0.0,0.0,0.0,0.0,0.0
AMS0897,0.0,0.0,0.0,0.0,0.0
ANC0012,0.0,0.0,0.0,0.0,0.0
ANS0172,0.0,0.0,0.0,0.0,0.0
ANW0351,0.0,0.0,0.0,0.0,0.0
AOC0511,0.0,0.0,0.0,0.0,0.0
APC0769,0.0,0.0,0.0,0.0,0.0
AQG0678,0.0,0.0,0.0,0.0,0.0
ARB0050,0.0,0.0,0.0,0.0,0.0
ARB0100,0.0,0.0,0.0,0.0,0.0
ARC0677,0.0,0.0,0.0,0.0,0.0
ARF0269,0.0,0.0,0.0,0.0,0.0
ARG0405,0.0,0.0,0.0,0.0,0.0
ARK0026,0.0,0.0,0.0,0.0,0.0
ARM0416,0.0,0.0,0.0,0.0,0.0
ARP0948,0.0,0.0,0.0,0.0,0.0
ARR0758,0.0,0.0,0.0,0.0,0.0
ARR0878,0.0,0.0,0.0,0.0,0.0
ARR0977,0.0,0.0,0.0,0.0,0.0
ARS0993,0.0,0.0,0.0,0.0,1.0
ARW0541,0.0,0.0,0.0,0.0,0.0
ASC0132,0.0,0.0,0.0,0.0,0.0
ASO0023,0.0,0.0,0.0,0.0,0.0
ASP0799,0.0,0.0,0.0,0.0,0.0
ASR0539,0.0,0.0,0.0,0.0,0.0
ASS0824,0.0,0.0,0.0,0.0,0.0
ASV0049,0.0,0.0,0.0,0.0,0.0
ATJ0284,0.0,0.0,0.0,0.0,0.0
AUM0365,0.0,0.0,0.0,0.0,0.0
AWB0828,0.0,0.0,0.0,0.0,0.0
AXB0007,0.0,0.0,0.0,0.0,0.0
AZC0030,0.0,0.0,0.0,0.0,0.0
AZS0738,0.0,0.0,0.0,0.0,0.0
BAB0505,0.0,0.0,0.0,0.0,0.0
BAE0444,0.0,0.0,0.0,0.0,0.0
BAF0379,0.0,0.0,0.0,0.0,0.0
BAH0774,0.0,0.0,0.0,0.0,0.0
BAK0787,0.0,0.0,0.0,0.0,0.0
BAM0466,0.0,0.0,0.0,0.0,0.0
BBH0313,0.0,0.0,0.0,0.0,0.0
BBM0499,0.0,0.0,0.0,0.0,0.0
BBP0623,0.0,0.0,0.0,0.0,0.0
BCB0013,0.0,0.0,0.0,0.0,0.0
BCG0303,0.0,0.0,0.0,0.0,0.0
BCG0692,0.0,0.0,0.0,0.0,0.0
BCH0912,0.0,0.0,0.0,0.0,0.0
BCJ0800,0.0,0.0,0.0,0.0,0.0
BCM0558,0.0,0.0,0.0,0.0,0.0
BCM0899,0.0,0.0,0.0,0.0,0.0
BCR0547,0.0,0.0,0.0,0.0,0.0
BCS0374,0.0,0.0,0.0,0.0,0.0
BCV0109,0.0,0.0,0.0,0.0,0.0
BCW0386,0.0,0.0,0.0,0.0,0.0
BDH0038,0.0,0.0,0.0,0.0,0.0
BDI0634,0.0,0.0,0.0,0.0,0.0
BFO0438,0.0,0.0,0.0,0.0,0.0
BFO0974,0.0,0.0,0.0,0.0,0.0
BFV0911,0.0,0.0,0.0,0.0,0.0
BGF0236,0.0,0.0,0.0,0.0,0.0
BGN0054,0.0,0.0,0.0,0.0,0.0
BGV0046,0.0,0.0,0.0,0.0,0.0
BGW0009,0.0,0.0,0.0,0.0,0.0
BHH0460,0.0,0.0,0.0,0.0,0.0
BIM0736,0.0,0.0,0.0,0.0,0.0
BIR0534,0.0,0.0,0.0,0.0,0.0
BJC0569,0.0,0.0,0.0,0.0,0.0
BJM0311,0.0,0.0,0.0,0.0,0.0
BJM0992,0.0,0.0,0.0,0.0,1.0
BKH0156,0.0,0.0,0.0,0.0,0.0
BKM0116,0.0,0.0,0.0,0.0,0.0
BLB0079,0.0,0.0,0.0,0.0,0.0
BLS0098,0.0,0.0,0.0,0.0,0.0
BMK0943,0.0,0.0,0.0,0.0,0.0
BML0618,0.0,0.0,0.0,0.0,0.0
